date,open,close,high,low,volume
2020-02-04,49.209999,49.450001,49.75,48.610001,46302100.0
2020-02-03,46.400002,48.02,48.099998,46.23,47077000.0
2020-01-31,48.400002,47.0,48.580002,46.790001,60322400.0
2020-01-30,46.490002,48.779999,48.810001,46.130001,70460200.0
2020-01-29,47.84,47.509998,48.07,46.099998,112349900.0
2020-01-28,50.029999,50.529999,50.849998,49.48,62343800.0
2020-01-27,48.450001,49.259998,49.790001,47.900002,48878600.0
2020-01-24,52.279999,50.349998,52.810001,49.470001,80004900.0
2020-01-23,51.34,51.709999,51.75,50.740002,40135400.0
2020-01-22,51.630001,51.43,51.880001,51.200001,40772200.0
2020-01-21,50.959999,51.049999,51.810001,50.700001,49095000.0
2020-01-17,50.200001,50.93,51.049999,49.900002,57722500.0
2020-01-16,49.169998,49.77,50.310001,48.990002,58898900.0
2020-01-15,48.23,48.549999,49.080002,48.119999,40199900.0
2020-01-14,48.639999,48.209999,49.040001,47.91,38563200.0
2020-01-13,48.66,48.75,48.860001,48.240002,34266800.0
2020-01-10,49.259998,48.169998,49.290001,48.0,44133700.0
2020-01-09,48.939999,48.970001,49.959999,48.389999,76512800.0
2020-01-08,47.849998,47.830002,48.299999,47.139999,53767000.0
2020-01-07,49.349998,48.25,49.389999,48.040001,58061400.0
2020-01-06,48.02,48.389999,48.860001,47.860001,47934900.0
2020-01-03,48.029999,48.599998,49.389999,47.540001,73127400.0
2020-01-02,46.860001,49.099998,49.25,46.630001,80331100.0
2019-12-31,45.07,45.860001,46.09,44.919998,31673200.0
2019-12-30,46.139999,45.52,46.169998,44.66,41149700.0
2019-12-27,46.849998,46.18,46.880001,45.98,36581300.0
2019-12-26,46.990002,46.630001,47.310001,45.66,57562800.0
2019-12-24,46.099998,46.540001,46.610001,45.77,44432200.0
2019-12-23,44.580002,45.459999,45.630001,44.389999,55886500.0
2019-12-20,43.439999,44.150002,44.259998,43.259998,68104700.0
2019-12-19,42.630001,42.830002,43.34,42.599998,45883000.0
2019-12-18,42.790001,42.299999,43.060001,42.240002,39083300.0
2019-12-17,42.509998,42.77,43.110001,42.150002,44852000.0
2019-12-16,41.73,42.349998,42.98,41.73,58824900.0
2019-12-13,42.349998,41.150002,42.950001,41.060001,79927800.0
2019-12-12,39.400002,42.59,42.619999,39.25,86878000.0
2019-12-11,39.439999,39.470001,39.610001,39.040001,31698300.0
2019-12-10,39.200001,39.439999,39.73,38.82,33733600.0
2019-12-09,39.459999,38.93,39.84,38.91,27928100.0
2019-12-06,40.099998,39.630001,40.189999,39.560001,31101400.0
2019-12-05,39.950001,39.619999,40.220001,39.549999,35574000.0
2019-12-04,39.380001,39.689999,39.82,39.130001,44299400.0
2019-12-03,37.34,38.900002,38.93,37.150002,51556400.0
2019-12-02,39.32,38.73,39.41,38.439999,35710200.0
2019-11-29,39.099998,39.150002,39.52,39.02,17609900.0
2019-11-27,39.459999,39.41,39.759998,39.07,33630100.0
2019-11-26,39.299999,38.990002,39.48,38.810001,43603300.0
2019-11-25,39.5,39.790001,40.169998,39.490002,45769500.0
2019-11-22,39.360001,39.150002,39.889999,38.189999,56931900.0
2019-11-21,40.419998,39.52,40.709999,38.639999,88069400.0
2019-11-20,40.959999,40.98,41.75,40.07,79767900.0
2019-11-19,40.139999,41.290001,41.790001,39.689999,94373000.0
2019-11-18,38.650002,39.880001,39.990002,38.599998,66102800.0
2019-11-15,38.939999,38.560001,39.369999,38.34,62958500.0
2019-11-14,37.509998,38.349998,38.5,37.360001,65829500.0
2019-11-13,36.650002,37.52,37.959999,36.580002,67648300.0
2019-11-12,36.43,36.709999,37.130001,36.400002,58664500.0
2019-11-11,35.959999,36.310001,36.66,35.580002,43511100.0
2019-11-08,36.060001,36.290001,36.580002,36.0,39353900.0
2019-11-07,36.52,36.279999,36.990002,36.029999,54350200.0
2019-11-06,36.060001,35.93,36.48,35.52,51675100.0
2019-11-05,36.560001,36.150002,37.18,35.98,84848600.0
2019-11-04,35.189999,36.290001,36.450001,34.759998,83343800.0
2019-11-01,34.369999,34.889999,35.0,34.099998,64238600.0
2019-10-31,32.98,33.93,34.34,32.82,67881600.0
2019-10-30,32.93,33.130001,33.34,32.029999,78228800.0
2019-10-29,33.73,33.029999,33.900002,32.700001,78700100.0
2019-10-28,33.16,33.689999,33.91,33.150002,51223600.0
2019-10-25,31.9,32.709999,32.860001,31.83,45368800.0
2019-10-24,31.58,31.719999,31.860001,31.34,27808000.0
2019-10-23,31.09,31.360001,31.65,30.83,26582200.0
2019-10-22,32.060001,31.51,32.150002,31.5,36185200.0
2019-10-21,31.5,32.029999,32.259998,31.41,52182800.0
2019-10-18,31.059999,30.969999,31.33,30.290001,39681700.0
2019-10-17,31.299999,31.139999,31.4,30.860001,36884400.0
2019-10-16,30.6,30.809999,31.41,30.530001,42804400.0
2019-10-15,30.700001,30.719999,30.92,30.17,41600700.0
2019-10-14,29.709999,30.530001,30.610001,29.379999,44473700.0
2019-10-11,28.83,29.75,30.200001,28.809999,66256900.0
2019-10-10,28.52,28.379999,28.889999,28.0,40660100.0
2019-10-09,28.799999,28.459999,28.950001,28.35,35661500.0
2019-10-08,28.549999,28.23,28.639999,27.92,44265700.0
2019-10-07,28.9,28.93,29.629999,28.84,39337200.0
2019-10-04,28.83,29.01,29.059999,28.280001,34446700.0
2019-10-03,28.280001,28.68,28.780001,27.43,56325200.0
2019-10-02,28.5,28.309999,28.85,28.030001,43640700.0
2019-10-01,29.049999,28.76,29.540001,28.639999,37081800.0
2019-09-30,28.889999,28.99,29.049999,28.360001,37295600.0
2019-09-27,29.17,28.719999,29.77,28.35,54091100.0
2019-09-26,29.67,29.469999,29.77,29.0,40745400.0
2019-09-25,29.48,29.540001,29.65,28.549999,58234800.0
2019-09-24,30.540001,29.52,30.75,29.290001,72963000.0
2019-09-23,30.120001,30.639999,30.799999,30.07,44366800.0
2019-09-20,30.360001,30.049999,30.469999,29.65,79957400.0
2019-09-19,30.57,30.290001,30.959999,30.139999,41603000.0
2019-09-18,30.75,30.42,30.889999,29.879999,47027500.0
2019-09-17,31.07,30.99,31.32,30.74,35011700.0
2019-09-16,30.370001,30.83,31.15,30.26,52248500.0
2019-09-13,30.27,30.690001,30.85,29.950001,47758800.0
2019-09-12,30.08,30.209999,30.84,29.950001,53618300.0
2019-09-11,30.379999,29.76,30.43,29.51,50631700.0
2019-09-10,30.219999,30.23,30.379999,29.77,48604800.0
2019-09-09,30.93,30.5,31.18,30.24,54413200.0
2019-09-06,31.5,30.559999,31.51,30.48,51673000.0
2019-09-05,31.790001,31.5,32.049999,31.120001,57861200.0
2019-09-04,31.32,30.950001,31.83,30.85,46614600.0
2019-09-03,30.83,30.9,31.139999,30.68,38029300.0
2019-08-30,31.6,31.450001,31.870001,31.129999,40307000.0
2019-08-29,31.469999,31.450001,31.83,31.33,44422800.0
2019-08-28,29.92,30.780001,31.18,29.700001,55835900.0
2019-08-27,30.6,30.200001,30.889999,29.6,53229200.0
2019-08-26,30.34,30.280001,30.719999,29.940001,50612500.0
2019-08-23,31.299999,29.540001,31.83,29.4,83681100.0
2019-08-22,31.76,31.9,31.92,30.98,47667900.0
2019-08-21,31.049999,31.700001,31.74,30.84,41441500.0
2019-08-20,30.940001,30.719999,31.309999,30.450001,47924000.0
2019-08-19,32.0,31.48,32.189999,31.42,67596900.0
2019-08-16,30.309999,31.18,31.48,30.209999,70469800.0
2019-08-15,30.629999,29.67,30.73,29.209999,71674400.0
2019-08-14,31.0,30.24,31.049999,29.51,127521500.0
2019-08-13,32.360001,32.110001,33.139999,31.719999,102009700.0
2019-08-12,34.16,32.43,34.650002,32.080002,106737000.0
2019-08-09,33.450001,34.189999,35.549999,33.080002,132483900.0
2019-08-08,31.530001,33.919998,34.27,31.48,167278800.0
2019-08-07,28.469999,29.190001,29.280001,28.370001,58577500.0
2019-08-06,28.860001,28.860001,29.049999,28.200001,60578400.0
2019-08-05,28.26,27.99,28.49,27.65,74333200.0
2019-08-02,29.48,29.440001,29.73,28.940001,60410900.0
2019-08-01,30.5,29.860001,31.48,29.1,80878900.0
2019-07-31,32.080002,30.450001,32.299999,30.299999,119190000.0
2019-07-30,33.209999,33.869999,33.939999,32.939999,72198900.0
2019-07-29,34.139999,33.48,34.18,32.98,45922000.0
2019-07-26,34.23,34.02,34.77,33.869999,43502800.0
2019-07-25,34.049999,33.669998,34.25,33.619999,36705600.0
2019-07-24,33.639999,34.110001,34.360001,33.450001,41952300.0
2019-07-23,33.169998,33.490002,33.5,32.93,38532500.0
2019-07-22,32.799999,32.849998,33.310001,32.740002,37777300.0
2019-07-19,33.080002,32.509998,33.349998,32.450001,44617700.0
2019-07-18,33.029999,33.0,33.459999,32.419998,58610900.0
2019-07-17,34.009998,33.599998,34.299999,33.490002,42557900.0
2019-07-16,34.299999,33.849998,34.860001,33.799999,66912700.0
2019-07-15,33.34,34.389999,34.549999,33.27,65565200.0
2019-07-12,32.759998,33.209999,33.389999,32.59,51509700.0
2019-07-11,33.91,33.060001,34.0,32.759998,63081800.0
2019-07-10,33.560001,33.790001,34.029999,33.360001,60388400.0
2019-07-09,31.76,33.150002,33.18,30.1,61419800.0
2019-07-08,31.799999,32.040001,32.150002,31.26,49689400.0
2019-07-05,30.879999,31.5,31.559999,30.75,34011900.0
2019-07-03,31.129999,31.190001,31.33,30.74,23462000.0
2019-07-02,30.959999,31.24,31.26,30.73,37721700.0
2019-07-01,31.790001,31.200001,32.040001,30.870001,60525500.0
2019-06-28,31.08,30.370001,31.110001,30.33,50090900.0
2019-06-27,30.41,30.74,30.959999,30.209999,55623300.0
2019-06-26,29.98,29.92,30.48,29.780001,65064200.0
2019-06-25,29.26,28.860001,29.719999,28.799999,53680900.0
2019-06-24,29.32,29.26,29.4,28.67,55724800.0
2019-06-21,29.65,29.1,30.35,28.969999,81861300.0
2019-06-20,31.24,30.01,31.360001,29.84,72418200.0
2019-06-19,30.67,30.5,30.790001,30.059999,63233900.0
2019-06-18,29.76,30.450001,30.969999,29.58,86444500.0
2019-06-17,30.25,29.200001,30.450001,29.18,70865700.0
2019-06-14,30.700001,30.360001,30.959999,30.02,70373000.0
2019-06-13,32.389999,31.389999,32.5,31.059999,63556000.0
2019-06-12,32.0,32.18,32.57,31.92,56194100.0
2019-06-11,33.43,32.41,33.490002,31.82,82834900.0
2019-06-10,33.529999,33.23,34.299999,33.080002,97668800.0
2019-06-07,31.940001,32.41,32.599998,31.57,86841100.0
2019-06-06,29.870001,31.82,31.98,29.84,131267800.0
2019-06-05,29.93,29.5,29.99,29.030001,79481500.0
2019-06-04,28.389999,29.57,29.59,27.91,107549500.0
2019-06-03,28.75,27.58,29.620001,27.290001,147532200.0
2019-05-31,27.57,27.41,28.360001,27.4,68667800.0
2019-05-30,28.4,28.030001,28.559999,27.6,65289100.0
2019-05-29,29.0,28.09,29.32,27.73,99969600.0
2019-05-28,27.27,29.049999,29.67,27.059999,146949600.0
2019-05-24,26.610001,26.440001,26.93,26.4,39835800.0
2019-05-23,26.99,26.360001,27.1,26.030001,67809200.0
2019-05-22,27.120001,27.41,27.59,27.07,40035300.0
2019-05-21,27.18,27.35,27.370001,26.93,46079200.0
2019-05-20,26.98,26.68,27.24,26.49,69757400.0
2019-05-17,27.690001,27.5,28.459999,27.4,65385400.0
2019-05-16,27.370001,28.01,28.370001,27.27,67330100.0
2019-05-15,26.870001,27.58,27.790001,26.73,55689900.0
2019-05-14,26.530001,27.32,27.48,26.15,82980400.0
2019-05-13,26.98,26.24,27.23,26.1,99017900.0
2019-05-10,27.030001,27.959999,28.1,26.93,82930100.0
2019-05-09,26.700001,27.209999,27.379999,26.030001,73150900.0
2019-05-08,26.41,27.09,27.709999,26.27,65967500.0
2019-05-07,27.200001,26.66,27.35,26.209999,75868800.0
2019-05-06,26.719999,27.42,27.5,26.450001,70344100.0
2019-05-03,28.299999,28.219999,28.42,27.66,55503100.0
2019-05-02,26.940001,28.290001,28.639999,26.610001,100514800.0
2019-05-01,28.950001,26.809999,29.15,26.780001,136066900.0
2019-04-30,27.59,27.629999,27.799999,26.940001,73165900.0
2019-04-29,27.9,27.690001,28.139999,27.5,44532700.0
2019-04-26,27.66,27.879999,27.9,27.049999,48827900.0
2019-04-25,28.67,27.66,28.860001,27.360001,57329700.0
2019-04-24,28.1,28.459999,28.85,27.93,51784700.0
2019-04-23,28.18,27.969999,28.49,27.790001,41777500.0
2019-04-22,27.620001,28.18,28.23,27.389999,36477300.0
2019-04-18,27.6,27.68,27.879999,27.34,39880900.0
2019-04-17,28.209999,27.49,28.27,27.219999,48240800.0
2019-04-16,27.719999,27.93,28.18,27.49,47340100.0
2019-04-15,27.799999,27.33,27.84,26.959999,40812500.0
2019-04-12,28.209999,27.85,28.379999,27.66,41048800.0
2019-04-11,27.809999,27.790001,28.049999,27.459999,44801200.0
2019-04-10,27.459999,27.83,28.120001,27.32,64368100.0
2019-04-09,28.24,27.24,28.379999,27.190001,75539800.0
2019-04-08,28.690001,28.530001,28.950001,28.18,58002500.0
2019-04-05,29.639999,28.98,29.690001,28.799999,65662700.0
2019-04-04,28.879999,29.09,29.389999,28.610001,82191100.0
2019-04-03,28.02,29.02,29.950001,27.879999,197650500.0
2019-04-02,26.51,26.75,26.799999,26.09,53358800.0
2019-04-01,26.42,26.360001,26.559999,25.83,63000300.0
2019-03-29,25.58,25.52,25.73,25.25,53502800.0
2019-03-28,25.1,25.059999,25.559999,24.65,64667500.0
2019-03-27,25.700001,24.889999,25.879999,24.549999,88585300.0
2019-03-26,26.690001,25.690001,26.98,25.459999,75754100.0
2019-03-25,26.290001,25.969999,26.99,25.540001,78438200.0
2019-03-22,27.540001,26.370001,27.75,26.33,115323300.0
2019-03-21,25.780001,27.889999,28.110001,25.709999,129610300.0
2019-03-20,26.49,25.700001,26.879999,25.309999,151292100.0
2019-03-19,23.6,26.0,26.08,23.59,156052200.0
2019-03-18,23.299999,23.25,23.620001,23.040001,34731800.0
2019-03-15,23.1,23.290001,23.65,23.01,46519900.0
2019-03-14,23.370001,22.82,23.49,22.799999,42818600.0
2019-03-13,23.66,23.379999,24.15,23.35,56705800.0
2019-03-12,23.1,23.49,23.799999,22.780001,56410600.0
2019-03-11,22.15,22.959999,23.08,21.98,54420200.0
2019-03-08,21.35,22.01,22.09,21.040001,49967700.0
2019-03-07,22.33,22.08,22.41,21.73,52186300.0
2019-03-06,23.469999,22.41,23.530001,22.4,60479400.0
2019-03-05,23.34,23.5,23.68,23.01,35462600.0
2019-03-04,23.889999,23.370001,24.129999,23.01,48147700.0
2019-03-01,23.969999,23.68,24.190001,23.450001,48084000.0
2019-02-28,23.209999,23.530001,23.67,23.110001,39384900.0
2019-02-27,24.110001,23.48,24.23,23.209999,62649300.0
2019-02-26,24.65,24.209999,24.719999,24.15,48470100.0
2019-02-25,25.01,24.709999,25.52,24.68,63221000.0
2019-02-22,24.049999,24.360001,24.360001,23.879999,52650700.0
2019-02-21,24.040001,23.92,24.33,23.85,49608200.0
2019-02-20,24.139999,23.950001,24.370001,23.9,57091600.0
2019-02-19,23.629999,23.950001,24.41,23.610001,57517900.0
2019-02-15,23.58,23.68,24.049999,23.200001,78644100.0
2019-02-14,22.74,23.129999,23.370001,22.59,64441200.0
2019-02-13,22.98,22.85,23.24,22.709999,57544200.0
2019-02-12,23.43,22.82,23.559999,22.75,67595400.0
2019-02-11,23.049999,22.959999,23.280001,22.66,60578700.0
2019-02-08,22.33,23.049999,23.280001,22.27,78129300.0
2019-02-07,22.99,22.67,23.219999,22.32,86723900.0
2019-02-06,23.629999,23.26,24.139999,23.219999,78684300.0
2019-02-05,23.42,23.309999,23.860001,22.98,122226000.0
2019-02-04,24.43,24.129999,24.66,24.07,70843800.0
2019-02-01,24.610001,24.51,24.84,24.07,105356200.0
2019-01-31,23.02,24.41,25.139999,22.83,182575600.0
2019-01-30,21.49,23.09,23.129999,21.370001,211421200.0
2019-01-29,20.26,19.25,20.389999,19.049999,131202500.0
2019-01-28,20.32,20.18,21.01,20.02,135164100.0
2019-01-25,20.99,21.93,22.030001,20.790001,110239500.0
2019-01-24,20.059999,20.85,21.01,20.040001,97433400.0
2019-01-23,20.030001,19.799999,20.48,19.549999,77811300.0
2019-01-22,20.48,19.76,20.92,19.700001,78513700.0
2019-01-18,20.370001,20.77,21.049999,20.02,88131000.0
2019-01-17,19.49,20.25,20.51,19.02,85018400.0
2019-01-16,20.4,19.73,20.540001,19.709999,70849300.0
2019-01-15,20.440001,20.379999,20.68,20.26,62785800.0
2019-01-14,19.959999,20.23,20.620001,19.75,71350200.0
2019-01-11,19.469999,20.27,20.35,19.190001,85110800.0
2019-01-10,19.76,19.74,19.83,18.9,115629400.0
2019-01-09,20.889999,20.190001,21.440001,20.07,163944100.0
2019-01-08,21.190001,20.75,21.200001,19.68,121271000.0
2019-01-07,19.440001,20.57,20.68,19.0,107157000.0
2019-01-04,17.549999,19.0,19.07,17.43,111878600.0
2019-01-03,18.42,17.049999,18.68,16.940001,117277600.0
2019-01-02,18.01,18.83,19.0,17.98,87148700.0
2018-12-31,18.15,18.459999,18.51,17.85,84732200.0
2018-12-28,17.530001,17.82,18.309999,17.139999,109214400.0
2018-12-27,17.43,17.49,17.74,16.440001,111373000.0
2018-12-26,16.879999,17.9,17.91,16.030001,108811800.0
2018-12-24,16.52,16.65,17.219999,16.370001,62933100.0
2018-12-21,18.120001,16.93,18.34,16.76,132246000.0
2018-12-20,18.110001,17.940001,18.860001,17.34,119394500.0
2018-12-19,19.440001,18.16,19.719999,18.0,120644500.0
2018-12-18,19.15,19.5,19.84,18.879999,101512900.0
2018-12-17,20.01,18.83,20.02,18.639999,115437900.0
2018-12-14,19.58,19.9,20.700001,19.52,84713600.0
2018-12-13,20.629999,19.860001,20.870001,19.76,88108300.0
2018-12-12,20.32,20.48,21.02,19.709999,100340700.0
2018-12-11,20.709999,19.98,21.139999,19.690001,88027400.0
2018-12-10,19.35,19.99,20.129999,19.27,77984500.0
2018-12-07,21.299999,19.459999,21.379999,19.17,105764500.0
2018-12-06,20.219999,21.299999,21.41,20.059999,103434700.0
2018-12-04,23.35,21.120001,23.42,21.07,127392900.0
2018-12-03,22.48,23.709999,23.75,22.370001,139607400.0
2018-11-30,21.299999,21.299999,21.360001,20.52,82370700.0
2018-11-29,21.190001,21.43,21.610001,20.73,79853700.0
2018-11-28,21.82,21.34,21.879999,20.18,134425300.0
2018-11-27,19.77,21.049999,21.450001,19.73,119230100.0
2018-11-26,19.959999,20.08,20.190001,19.110001,83211000.0
2018-11-23,18.610001,19.379999,19.83,18.559999,54611300.0
2018-11-21,20.049999,18.73,20.309999,18.5,81585600.0
2018-11-20,17.4,19.209999,19.58,17.18,109869400.0
2018-11-19,20.4,19.110001,20.59,19.09,93578200.0
2018-11-16,19.870001,20.66,20.969999,19.719999,112376600.0
